id,fulltext,label

0,  hari masih nunggu kurir pick up pesanan sudah tidak bisa dibatalkan harusnya tokopedia ganti ekspedisi lain selain anteraja dulu pernah ada  trus sekarang sudah gak ada lagi,negatif

1,mau bayar bpjs kok gini mulu,negatif

2, belum adacek dm sudah saya kirim  nya,negatif

3, astaghfirullah min cek dm masya allah dari tadi dm dan mention ga diwaro,negatif

4,  aku juga gtu kak padahal saldo pelatihannya sudah berkurang dan berhasil statusnya di dashboard prakerja,negatif

5, cek dm ya kak uang saya tertahan  jt tidak bisa di tarik,negatif

6, siang min saya mau top up ovo cash jt kok gabisa ya apa mesti  kali top up jtjtjt ,negatif

7, dr kmrn saya udah dm dan jg pusat bantuan tokopedia tapi hanya mesin yg menjawab pertanyaan saya akun saya tidak melakukan pelanggaran kenapa saya tidak bs memakai promo sy sdh cb hub tp hanya dijawab dengan pesan begitu ,negatif

8,rt  siapa yang weekendnya masih balesbalesan chat sama penjual buat nanyananya produk yang mau dibeli nih,netral

9, bgmn mengenai program super electrilife koq ga ada infonya di toped,netral

10, kayak begini gagal dalam memproses request kira² kenapa ya padahal saldo di prakerja masih ada k ,negatif

11, siang min mau tanya aku kan beli pelatihan untuk prakerja di tokped terus aku amu tukar voucher ya di skill academy tapi kok aku cek ga ada riwayat pembelian aku ya saldo pelatihan aku juga udah berkurang itu tolong gimana ya jadinya,negatif

12, boleh dicek urgent,negatif

13, sudah dikirim tolong di cek,positif

14, dua juta dua ratus ribu hilang dirampas oleh penipu difasilitasi oleh  teoriminto sungguh terlalu,negatif

15, lah ini gak bisa dari kemarin solusinya  ,negatif

16, mohon hpsaya diganti menjadi ,netral

17, mohon email saya digantijasurjana yahoosdh tdk aktiftks,netral

18, bisa minta tolong follow up orderan saya dari tgl  tidak dikirim oleh seller setiap dihubungi selalu bilang harap tunggu kesel bgt  ,negatif

19, pembelian via kartu prakerja emang udah gak bisa ya ,netral

