id,fulltext,label

0,hari masih nunggu kurir pick up pesan sudah tidak bisa batal harus tokopedia ganti ekspedisi lain selain anteraja dulu pernah ada trus sekarang sudah gak ada lagi,negatif

1,mau bayar bpjs kok gin mulu,negatif

2,belum adacek dm sudah saya kirim nya,negatif

3,astaghfirullah min cek dm masya allah dari tadi dm dan mention ga diwaro,negatif

4,aku juga gtu kak padahal saldo latih sudah kurang dan hasil status di dashboard prakerja,negatif

5,cek dm ya kak uang saya tahan jt tidak bisa di tarik,negatif

6,siang min saya mau top up ovo cash jt kok gabisa ya apa mesti kali top up jtjtjt,negatif

7,dr kmrn saya udah dm dan jg pusat bantu tokopedia tapi hanya mesin yg jawab tanya saya akun saya tidak laku langgar kenapa saya tidak bs pakai promo sy sdh cb hub tp hanya jawab dengan pesan begitu,negatif

8,rt siapa yang weekendnya masih balesbalesan chat sama jual buat nanyananya produk yang mau beli nih,netral

9,bgmn kena program super electrilife koq ga ada info di toped,netral

10,kayak begini gagal dalam proses request kira kenapa ya padahal saldo di prakerja masih ada k,negatif

11,siang min mau tanya aku kan beli latih untuk prakerja di tokped terus aku amu tukar voucher ya di skill academy tapi kok aku cek ga ada riwayat beli aku ya saldo latih aku juga udah kurang itu tolong gimana ya jadi,negatif

12,boleh cek urgent,negatif

13,sudah kirim tolong di cek,positif

14,dua juta dua ratus ribu hilang rampas oleh tipu fasilitas oleh teoriminto sungguh terlalu,negatif

15,lah ini gak bisa dari kemarin solusi,negatif

16,mohon hpsaya ganti jadi,netral

17,mohon email saya digantijasurjana yahoosdh tdk aktiftks,netral

18,bisa minta tolong follow up order saya dari tgl tidak kirim oleh seller tiap hubung selalu bilang harap tunggu kesel bgt,negatif

19,beli via kartu prakerja emang udah gak bisa ya,netral

20,saya isi brizzi lalu toped kemaren sore tpi hingga siang ini belum masuk,negatif

21,min beli komplain gk bisa pake bebas ongkir di toko pdhal stelah cek bebas ongkir ttp aktif gmn solusi,negatif

22,min minta info details juga bisa tenants apa saja yg bisa memdapatkan voucher super electric life nuhun,netral

23,di dm twitter atau dm app tokped nya dua dua nya gada kak,negatif

24,saya mau beli kelas prakerja kok selalu muncul tulis gagal dalam muat sih padahal nomor dri kartu prakerja nya sudah benar semua,negatif

25,pengaruh deh kaya karna harus nama yg dpt prakerja nya,netral

26,bagaimana lihat point yg d dapaat dri transaksi di mitra tokopedia,netral

27,kalau kita pernah isi token listrik kan ada referensi nomor yg pernah isi belum nah itu mau saya hapus riwayat makin sering isi token listrik makin numpuk suggestion nya,negatif

28,min aku udah dari tgl selesai latih di arkademi kenapa sampai sekarang sertifikat belum muncul di dasboard prakerja padahal di web arkademi nya sendiri udah selesai latih udah dapat sertifikat juga makasih,negatif

29,saya ingin hapus history beli token listrik pln saya sering salah beli token karena riwayat tumpuk dengan nomor listrik yang pernah saya isi belum,negatif

30,silah untuk informasi lebih lanjut silah cek dm kami atau hubung whatsap halo bca respon cepat tks kaka,netral

31,ini ada masalah apa ya kok tidak bisa tari,negatif

32,punya kakak kemarin sertifikat nya langsung keluar apa nunggu kaya punya aku gin padahal di tokopedia sama skill akademi sama udah ngasih ulas,negatif

