id,fulltext,label
0,"@tokopedia @TokopediaCare @anteraja_id 
10000973222050
2 hari masih nunggu kurir pick up, pesanan sudah tidak bisa dibatalkan. Harusnya tokopedia ganti ekspedisi lain selain anteraja, dulu pernah ada @sicepat_ekspres, trus sekarang sudah gak ada lagi",negatif
1,"Mau bayar BPJS kok gini mulu?
@tokopedia  @TokopediaCare https://t.co/U5XhdTZtty",negatif
2,@TokopediaCare belum ada...cek dm sudah saya kirim invoice nya,negatif
3,"@TokopediaCare astaghfirullah min, cek dm masya Allah dari tadi dm dan mention ga diwaro",negatif
4,@pintutoko @TokopediaCare Aku juga gtu kak padahal saldo pelatihannya sudah berkurang dan berhasil statusnya di dashboard prakerja,negatif
5,@TokopediaCare cek dm ya kak uang saya tertahan 16 jt tidak bisa di tarik.,negatif
6,"@TokopediaCare siang min, saya mau top up ovo cash 5jt kok gabisa ya? Apa mesti 3 kali top up 2jt+2jt+1jt? https://t.co/sBIo5fYbBP",negatif
7,@TokopediaCare dr kmrn saya udah dm dan jg pusat bantuan tokopedia tapi hanya mesin yg menjawab pertanyaan saya. Akun saya tidak melakukan pelanggaran kenapa saya tidak bs memakai promo. Sy sdh cb hub tp hanya dijawab dengan pesan begitu https://t.co/wWjdiXxkUu,negatif
8,RT @TokopediaCare: Siapa yang weekendnya masih bales-balesan chat sama penjual buat nanya-nanya produk yang mau dibeli nih?,netral
9,@TokopediaCare bgmn mengenai program super electrilife? Koq ga ada infonya di toped,netral
10,"@TokopediaCare Kayak begini “Gagal dalam memproses request”, kira² kenapa ya?? Padahal saldo di prakerja masih ada 700K++ https://t.co/h0mekLbQtx",negatif
11,"@TokopediaCare siang min mau tanya aku kan beli pelatihan untuk prakerja di tokped terus aku amu tukar voucher ya di skill academy, tapi kok aku cek ga ada riwayat pembelian aku ya. Saldo pelatihan aku juga udah berkurang itu tolong gimana ya jadinya?",negatif
12,"@TokopediaCare Boleh dicek, urgent",negatif
13,"@TokopediaCare Sudah dikirim, tolong di cek",positif
14,"@tokopedia Dua juta dua ratus ribu hilang 
Dirampas oleh penipu
Difasilitasi oleh @TokopediaCare 

#TeoriMinto

Sungguh terlalu",negatif
15,"@TokopediaCare Lah ini gak bisa dari kemarin, solusinya ? https://t.co/Gxt78Q7L3q",negatif
16,"@TokopediaCare ,mohon HP,saya diganti menjadi 08989136676",netral
17,"@TokopediaCare ,mohon email saya diganti,jasurjana@gmail.com,karena yahoo,sdh tdk aktif..tks",netral
18,@TokopediaCare bisa minta tolong follow up orderan saya dari tgl 3 tidak dikirim2 oleh seller. Setiap dihubungi selalu bilang harap tunggu. Kesel bgt 😭 https://t.co/O4oVC87WAN,negatif
19,@TokopediaCare pembelian via kartu prakerja emang udah gak bisa ya ?,netral
20,"@TokopediaCare saya isi brizzi melalui toped kemaren sore, tpi hingga siang ini belum masuk",negatif
21,"@TokopediaCare min pembeli komplain gk bisa pake bebas ongkir di tokoku, pdhal stelah dicek bebas ongkir ttp aktif, gmn solusinya? https://t.co/ONpqWcTK94",negatif
22,"@TokopediaCare Min minta info details juga bisa?
Tenants apa saja yg bisa memdapatkan voucher super electric life
Nuhun",netral
23,@TokopediaCare di dm twitter atau dm app tokped nya. dua dua nya gada kak,negatif
24,"@TokopediaCare saya mau beli kelas Prakerja kok selalu muncul tulisan ""gagal dalam memuat sih""?? Padahal nomor dri kartu prakerja nya sudah benar semua.",negatif
25,"@bonvuoyage @minewasblue @TokopediaCare @tokopedia Berpengaruh deh kayanya, karna harus nama yg dpt prakerja nya",netral
26,@TokopediaCare Bagaimana melihat point yg d dapaat dri transaksi di mitra tokopedia,netral
27,"@TokopediaCare Kalau kita pernah isi token listrik kan ada referensi nomor yg pernah diisi sebelumnya, nah itu mau saya hapus riwayatnya. Makin sering isi token listrik makin numpuk suggestion nya",negatif
28,Min @tokopedia @TokopediaCare aku udah dari tgl 7 selesaikan pelatihan di arkademi kenapa sampai sekarang sertifikatnya belum muncul di dasboard prakerja? Padahal di web arkademi nya sendiri udah selesai pelatihannya udah dapat sertifikat juga? Makasih,negatif
29,"@TokopediaCare saya ingin menghapus history pembelian token listrik PLN, saya sering salah beli token karena riwayatnya tertumpuk dengan nomor listrik yang pernah saya isi sebelumnya",negatif
30,"@_leazzuri @TokopediaCare Silahkan untuk informasi lebih lanjut silahkan cek DM kami  atau hubungi WhatsAp Halo BCA 082183268865, respon cepat Tks. :)^Kaka.",netral
31,@TokopediaCare ini ada masalah apa ya kok tidak bisa penarikan https://t.co/8SX0QpRWsO,negatif
32,"@minewasblue @shishintaaa @TokopediaCare @tokopedia Punya kakak kemarin sertifikat nya langsung keluar, apa nunggu kaya punya aku gini? Padahal di Tokopedia sama skill akademi sama2 udah ngasih ulasan. https://t.co/A3dZhHhH3J",negatif
33,"@minewasblue @shishintaaa @TokopediaCare @tokopedia Enggak. Kan yang dapet prakerja mama, terus yg ngerjain skill akademinya aku, terus mama bilang coba sertifikat nya kalau bisa pakai nama kamu aja. Kira2 berpengaruh gak?",netral
34,@bonvuoyage @shishintaaa @TokopediaCare @tokopedia Boleh nanya gak kenapa beda? Apa karena email kah?,netral
35,"@TokopediaCare @tokopedia min, saya sudah memberikan ulasan di tokopedia juga di skill akademi. Kira2 ini kenapa tidak centang hijau? dan kapan sertifikatnya bakal bisa dikonfirmasi ke akun prakerja? https://t.co/JO5LHkbZcu",negatif
36,"@minewasblue @shishintaaa @TokopediaCare @tokopedia Eh kak maaf jbjb kalau misalkan nama yg dipakai buat skill akademi di sertifikat beda sama nama pengguna Tokopedia sama prakerja kira2 sertifikatnya bakalan bisa masuk gak kan? Soalnya aku yg dapet prakerja mama, terus bilang sertifikatnya isi nama kamu aja. Tapi buat no hp sama.",netral
37,"@shishintaaa @TokopediaCare @tokopedia Iya kak, soalnya email prakerja sama pelatihan maupun ewallet beda gak papa kan? Yang penting no hp sama ya?",netral
38,"@TokopediaCare @sicepat_ekspres kak nomor resi ini kok tidak ada update lagi, ya?
 000480744863",negatif
39,"Gada otak emang, bisa""nya ga valid, LAIN KALI KALAU RETUR SEDIAIN RESI OTOMATIS!!!!!! @tokopedia @TokopediaCare https://t.co/8FUJiHr04D",negatif
40,"@TokopediaCare @Bbychocoooco Kok saya ga direspon ya sampai detik ini? Ini gimana coba?? Level saya udah diamond, yg balas malah bot https://t.co/knKJs2M7X6",negatif
41,"RT @yoshuactd: @TokopediaCare admin, tolong dong ya kok ga valid resinya, yg bener aja kok bisa kayak gini sih😭 https://t.co/OKx46pFEj1",negatif
42,@TokopediaCare Oke kak. Mohon bantuannya,positif
43,@TokopediaCare berhari hari error mulu pas pembayaran kenapa ya? https://t.co/v23zqDTt6e,negatif
44,"@TokopediaCare saya buat tweet kayak gini karna saya ga direspon sama admin di aplikasi tokopedianya. Padahal level saya sudah diamond. Ini bagaimana coba, sekelas diamond aja ga ditanggapin loh, yg balas malah si ""Tanya"" alias si botnya tokopedia. Heran saya sama @tokopedia https://t.co/Ka470A4Lci",negatif
45,"@TokopediaCare admin, tolong dong ya kok ga valid resinya, yg bener aja kok bisa kayak gini sih😭 https://t.co/OKx46pFEj1",negatif
46,@cywifeuu @TokopediaCare wah sama nih. Udah bbeberapa hari begini ga bisa transaksi. Kenapa ya?,negatif
47,"@minewasblue @TokopediaCare @tokopedia Boleh aja ka, karna aku udah lulus praker juga 😂 sertifikat bakal tetep masuk ko, yg penting no hp sama semua yaa, dari akun praker, toped, skillacademy. Eh nanya nya sama kan kaya pertanyaan aku?",positif
48,@JNECare Hoi....ini lho...dilihat dulu...bener gak ini barangnya mangkrak gak dikirim mulai tanggal 8. Baru dikirim hari ini... @TokopediaCare https://t.co/y7BPzaOqeP,negatif
49,@TokopediaCere akun bodong min @TokopediaCare,netral
50,@TokopediaCare Sudah di dm yaa,positif
51,"@TokopediaCare halo tokopedia, saya mau tanya barang saya tidak kunjung sampai nih.. saya udah telepon ekspedisi dan katanya barang tertukar pihak, namun sudah 4 hari tetap tidak ada kabar..
Yang saya mau tanyakan apabila barang tidak kunjung datang, ini apakah akan auto-selesai?",negatif
52,@TokopediaCare Okay. Terima kasih infonya.,positif
53,"@Els46845338 @tokopedia @TokopediaCare iya ka  ,karena email ma nomer hp masing* udah terdaftar di bukalapak,netralrus pas coba login tokped akun udah dinonaktifkan , jd inget pengalaman saya dulu bisa beli di tokped yg beda akunnya, jd mau mastiin lg ,takutnya udah beda lg ketentuannya ka,",netral
54,@TokopediaCare Ok kak udah aku reply di DM,positif
55,@TokopediaCare halo selamat malam... mau tanya kenapa conversi cicilan saya belum masuk ya ke bank ? Padahal sudah 2x statement masih full tertagih... bagaimana ini ? Transaksi tanggal 2 februari tagihan saya masih full ..,negatif
56,"tadi beli pulsa @Telkomsel di @tokopedia @TokopediaCare dari jam 5 sore masih belum masuk, gimana yaa? Ko lama bgt:((",negatif
57,@TokopediaCare @tokopedia Kok tokopedia curang ya pengembalian dananya ga 100% dari total barang yg saya belanja @GrabID ini yg malingnya grab apa tokopedia nih?ini kok jadi kayak abg labil ya tokopedia? Aduh gimana nih temen2 saya pada nanyain belanja tokped aman apa ga wkakkakakaka https://t.co/0t0FhpmkdW,negatif
58,"@TokopediaCare Link 1 &amp; Link 2 (produk &amp; harga sama), punya rating produk berbeda. 

Link ke 2, saya post pertanyaan saya mengenai produk ini di FORUM DISKUSI. Tapi Tidak pernah respon jg. Susah sekali hubungi seller ini?",negatif
